Points;Athlete;State;Place;Date;100meters;LongJump;ShotPut;HighJump;400meters;110hurdles;Discus;Pole;Javelin;1500meters;;
9126;Kevin Mayer;France;Talence;16.09.2018;10,55;7,8;16;2,05;48,42;13,75;50,54;5,45;71,9;276,11;;
9045;Ashton Eaton;USA;Peking;29.08.2015;10,23;7,88;14,52;2,01;45;13,69;43,34;5,2;63,63;257,52;;
9026;Roman Šebrle;Czechia;Götzis;27.05.2001;10,64;8,11;15,33;2,12;47,79;13,92;47,92;4,8;70,16;261,98;;
9018;Damian Warner;Canada;Tokio;05.08.2021;10,12;8,24;14,8;2,02;47,84;13,46;48,67;4,9;63,44;271,08;;
8994;Tomáš Dvořák;Czechia;Praha;04.07.1999;10,54;7,9;16,78;2,04;48,08;13,73;48,33;4,9;72,32;277,20;;
8891;Dan OBrien;USA;Talence;05.09.1992;10,43;8,08;16,69;2,07;48,51;13,98;48,56;5;62,58;282,10;;
8847;Daley Thompson;Great Britain;Los Angeles;09.08.1984;10,44;8,01;15,72;2,03;46,97;14,33;46,56;5;65,24;275,00;;
8832;Jürgen Hingsen;NSR;Mannheim;09.06.1984;10,7;7,76;16,42;2,07;48,05;14,07;49,36;4,9;59,86;259,75;;
8832;Bryan Clay;USA;Eugene;30.06.2008;10,39;7,39;15,17;2,08;48,41;13,75;52,74;5;70,55;290,97;;
8815;Erki Nool;Estonia;Edmonton;07.08.2001;10,6;7,63;14,9;2,03;46,23;14,4;43,4;5,4;67,01;269,58;;
8792;Uwe Freimuth;NDR;Potsdam;21.07.1984;11,06;7,79;16,3;2,03;48,43;14,66;46,58;5,15;72,42;265,19;;
8790;Trey Hardee;USA;Berlin;20.08.2009;10,45;7,83;15,33;1,99;48,13;13,86;48,08;5,2;68;288,91;;
8784;Tom Pappas;USA;Palo Alto;22.06.2003;10,78;7,96;16,28;2,17;48,22;14,13;45,84;5,2;60,77;288,12;;
8762;Siegfried Wentz;Germany;Bernhausen;05.06.1983;10,89;7,49;15,35;2,09;47,38;14;46,9;4,8;70,68;264,90;;
8735;Eduard Hämäläinen;Belarus;Götzis;29.05.1994;10,5;7,26;16,05;2,11;47,63;13,82;49,7;4,9;60,32;275,09;;
8727;Dave Johnson;USA USA;Azusa;24.04.1992;10,96;7,52;14,61;2,04;48,19;14,17;49,88;5,28;66,96;269,38;;
8725;Dmitrij Karpov;Kazachstan;Athens;24.08.2004;10,5;7,81;15,93;2,09;46,81;13,97;51,65;4,6;55,54;278,11;;
8709;Alexandr Apajčev;SSSR;Neubrandenburg;03.06.1984;10,96;7,57;16;1,97;48,72;13,93;48;4,9;72,24;266,51;;
8706;Frank Busemann;Germany;Atlanta;01.08.1996;10,6;8,07;13,6;2,04;48,34;13,47;45,04;4,8;66,86;271,41;;
8698;Grigorij Děgťarjov;SSSR;Kyjev;22.06.1984;10,87;7,42;16,03;2,1;49,75;14,53;51,2;4,9;67,08;263,09;;